,Date,,,Queries in Notebook,Users in Notebook,,,
,2025-11-17,,,-,-,,,
,2025-11-18,,,-,-,,,
,2025-11-19,,,-,-,,,
,2025-11-20,,,-,-,,,
,2025-11-21,,,-,-,,,
,2025-11-22,,,-,-,,,
,2025-11-23,,,-,-,,,
,2025-11-24,,,-,-,,,
,2025-11-25,,,-,-,,,
,2025-11-26,,,-,-,,,
Holiday/Chat Only ->,2025-11-27,,,-,-,,,
Holiday/Chat Only ->,2025-11-28,,,-,-,,,
,2025-11-29,,,-,-,,,
,2025-11-30,,,-,-,,,
,2025-12-01,,,195,10,,,
,2025-12-02,,,241,7,,,
,2025-12-03,,,185,11,,,
,2025-12-04,,,142,13,,,
,2025-12-05,,,129,9,,,
,2025-12-06,,,-,-,,,
,2025-12-07,,,-,-,,,
Notebook Launches in Support ->,2025-12-08,,,307,42,,,
,2025-12-09,,,429,56,,,
,2025-12-10,,,547,57,,,
,2025-12-11,,,522,58,,,
,2025-12-12,,,516,53,,,
,2025-12-13,,,16,5,,,
,2025-12-14,,,15,5,,,
,2025-12-15,,,598,56,,,
,2025-12-16,,,661,67,,,
,2025-12-17,,,692,66,,,
,2025-12-18,,,656,59,,,
,2025-12-19,,,513,59,,,
,2025-12-20,,,17,5,,,
,2025-12-21,,,14,5,,,
,2025-12-22,,,568,57,,,
,2025-12-23,,,529,56,,,
,2025-12-24,,,355,45,,,
,2025-12-25,,,4,1,,,
,2025-12-26,,,9,2,,,
,2025-12-27,,,5,1,,,
,2025-12-28,,,22,4,,,
,2025-12-29,,,531,48,,,Total Queries Since Launch in Support 12/08/2025
,2025-12-30,,,502,54,,,
,2025-12-31,,,509,47,,,34691
,2026-01-01,,,16,3,,,
,2026-01-02,,,643,42,,,
,2026-01-03,,,15,4,,,
,2026-01-04,,,30,5,,,
,2026-01-05,,,822,58,,,
,2026-01-06,,,869,64,,,
,2026-01-07,,,991,65,,,
,2026-01-08,,,925,65,,,
,2026-01-09,,,782,63,,,
,2026-01-10,,,18,5,,,
,2026-01-11,,,21,5,,,
,2026-01-12,,,831,62,,,
,2026-01-13,,,1107,70,,,
,2026-01-14,,,988,72,,,
,2026-01-15,,,941,68,,,
,2026-01-16,,,831,67,,,
,2026-01-17,,,18,4,,,
,2026-01-18,,,47,4,,,
,2026-01-19,,,257,59,,,
,2026-01-20,,,373,51,,,
,2026-01-21,,,802,56,,,
,2026-01-22,,,797,60,,,
,2026-01-23,,,933,66,,,
,2026-01-24,,,38,7,,,
,2026-01-25,,,22,5,,,
,2026-01-26,,,1014,80,,,
,2026-01-27,,,1127,75,,,
,2026-01-28,,,1153,80,,,
,2026-01-29,,,1094,82,,,
,2026-01-30,,,837,64,,,
,2026-01-31,,,35,9,,,
,2026-02-01,,,38,12,,,
,2026-02-02,,,1064,75,,,
,2026-02-03,,,1135,80,,,
,2026-02-04,,,1003,71,,,
,2026-02-05,,,1336,71,,,
,2026-02-06,,,948,68,,,
,2026-02-07,,,28,9,,,
,2026-02-08,,,51,8,,,
,2026-02-09,,,1099,74,,,
,2026-02-10,,,1075,73,,,
,2026-02-11,,,,,,,
,2026-02-12,,,,,,,
